age,lx
15,100000
16,99997.36
17,99990.99
18,99978.64
19,99958.73
20,99931.26
21,99897.73
22,99860.38
23,99821.17
24,99781.15
25,99740.36
26,99698.65
27,99655.82
28,99611.7
29,99566.1
30,99518.79
31,99469.57
32,99418.17
33,99364.34
34,99307.78
35,99248.18
36,99185.19
37,99118.41
38,99047.44
39,98971.78
40,98890.93
41,98804.29
42,98711.23
43,98611.01
44,98502.86
45,98385.87
46,98259.07
47,98121.36
48,97971.54
49,97808.24
50,97629.98
51,97435.09
52,97221.73
53,96987.87
54,96731.23
55,96449.33
56,96139.42
57,95798.46
58,95423.14
59,95009.8
60,94554.47
61,94052.81
62,93500.13
63,92891.35
64,92221.01
65,91483.3
66,90672.02
67,89780.67
68,88802.44
69,87730.28
70,86557.03
71,85275.44
72,83878.36
73,82358.88
74,80710.51
75,78927.41
76,77004.61
77,74968.19
78,72813.43
79,70537.78
80,68140.78
81,65623.87
82,62990.03
83,60243.31
84,57388.32
85,54429.55
86,51370.76
87,48214.41
88,44961.18
89,41609.7
90,38156.63
91,34597.24
92,30926.86
93,27143.69
94,23253.84
95,19279.89
96,15274.44
97,11339.52
98,7648.72
99,4456.88
100,2059.27
101,648.31
102,105.01
103,5.06
104,0.02
105,0
